"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"010126","平安价值成长混合A",,"1.1070","2.67","2.82","10.76","","","","","","10.70",""
"010125","兴银景气优选混合C",,"1.0636","","4.10","","","","","","","6.36",""
"010124","兴银景气优选混合A",,"1.0641","","4.11","","","","","","","6.41",""
"010123","华泰柏瑞优势领航混合C",,"1.1125","2.34","2.96","11.23","","","","","","11.25",""
"010122","华泰柏瑞优势领航混合A",,"1.1149","2.35","2.98","11.46","","","","","","11.49",""
"010117","民生加银新兴产业混合C",,"1.0497","1.88","1.17","4.75","","","","","","4.97",""
"010114","华宝新兴成长混合",,"1.0821","2.00","1.36","7.93","","","","","","8.21",""
"010111","广发医药健康混合C",,"1.0034","0.37","0.67","","","","","","","0.34",""
"010110","广发医药健康混合A",,"1.0042","0.38","0.68","","","","","","","0.42",""
"010109","富国价值增长混合",,"1.0678","1.89","2.10","6.68","","","","","","6.78",""
"010107","华夏核心科技6个月定开混合C",,"1.0715","","5.67","7.91","","","","","","7.15",""
"010106","华夏核心科技6个月定开混合A",,"1.0735","","5.68","8.10","","","","","","7.35",""
"010105","景顺长城消费精选混合C",,"1.0318","1.19","1.10","3.20","","","","","","3.18",""
"010104","景顺长城消费精选混合A",,"1.0329","1.19","1.11","3.30","","","","","","3.29",""
"010101","创金合信鼎诚3个月定开混合C",,"1.0320","0.22","0.77","3.56","","","","","","3.20",""
"010100","创金合信鼎诚3个月定开混合A",,"1.0331","0.22","0.78","3.65","","","","","","3.31",""
"010094","交银产业机遇混合",,"1.0291","1.15","0.88","2.85","","","","","","2.91",""
"010093","西部利得港股通新机遇混合C",,"1.1312","2.96","3.41","15.42","","","","","","11.20",""
"010091","中信建投医药健康C",,"1.0074","0.49","0.36","0.75","","","","","","0.74",""
"010090","中信建投医药健康A",,"1.0095","0.49","0.37","0.95","","","","","","0.95",""
"010089","工银优质成长混合C",,"1.0070","","0.48","","","","","","","0.70",""
"010088","工银优质成长混合A",,"1.0077","","0.49","","","","","","","0.77",""
"010079","博时恒荣一年混合C",,"1.0172","0.41","0.79","1.72","","","","","","1.72",""
"010078","博时恒荣一年混合A",,"1.0183","0.42","0.81","1.82","","","","","","1.83",""
"010077","湘财长弘灵活配置混合C",,"1.0744","1.89","0.94","7.72","","","","","","7.44",""
"010076","湘财长弘灵活配置混合A",,"1.0756","1.89","0.96","7.83","","","","","","7.56",""
"010073","方正富邦策略精选C",,"1.0238","","0.21","","","","","","","2.38",""
"010072","方正富邦策略精选A",,"1.0239","","0.21","","","","","","","2.39",""
"010065","圆信永丰兴研C",,"1.0959","1.37","1.02","9.58","","","","","","9.59",""
"010064","圆信永丰兴研A",,"1.0974","1.37","1.05","9.72","","","","","","9.74",""
"010063","南方行业精选一年混合C",,"1.0179","","1.23","","","","","","","1.79",""
"010062","南方行业精选一年混合A",,"1.0188","","1.23","","","","","","","1.88",""
"010061","华泰柏瑞景利混合C",,"1.0057","0.60","0.94","1.24","","","","","","0.57",""
"010060","华泰柏瑞景利混合A",,"1.0069","0.60","0.95","1.34","","","","","","0.69",""
"010058","天弘荣创一年持有期混合",,"1.0276","0.72","0.94","2.76","","","","","","2.76",""
"010057","平安瑞兴一年定开混合C",,"0.9986","","0.40","","","","","","","-0.14",""
"010056","平安瑞兴一年定开混合A",,"0.9993","","0.41","","","","","","","-0.07",""
"010055","万家健康产业混合C",,"1.0051","0.19","","0.51","","","","","","0.51",""
"010054","万家健康产业混合A",,"1.0064","0.20","","0.64","","","","","","0.64",""
"010050","长城成长先锋混合C",,"0.9979","0.38","0.58","-0.29","","","","","","-0.21",""
"010049","长城成长先锋混合A",,"0.9994","0.38","0.58","-0.17","","","","","","-0.06",""
"010047","博时金福安一年持有混合(FOF)C",,"1.0437","0.02","0.35","5.03","","","","","","4.37",""
"010046","博时金福安一年持有混合(FOF)A",,"1.0450","0.03","0.36","5.14","","","","","","4.50",""
"010045","汇添富稳健添盈一年持有混合",,"1.0306","0.83","0.96","3.01","","","","","","3.06",""
"010044","天弘安康颐和混合C",,"1.0012","","0.05","","","","","","","0.12",""
"010043","天弘安康颐和混合A",,"1.0013","","0.05","","","","","","","0.13",""
"010038","广发恒通六个月持有期混合C",,"1.0071","0.23","0.33","","","","","","","0.71",""
"010037","华泰柏瑞价值增长混合C",,"5.2802","2.29","4.01","5.67","","","","","","5.02",""
"010036","广发恒通六个月持有期混合A",,"1.0077","0.23","0.34","","","","","","","0.77",""
"010034","安信成长精选混合C",,"1.0207","0.67","","2.06","","","","","","2.07",""
"010033","安信成长精选混合A",,"1.0220","0.67","","2.19","","","","","","2.20",""
"010032","华泰柏瑞新兴产业混合C",,"1.9734","1.65","1.53","7.98","","","","","","7.94",""
"010031","华泰柏瑞生物医药混合C",,"2.7353","1.36","2.12","7.15","","","","","","5.93",""
"010030","富国稳进回报12个月持有期混合C",,"1.0348","0.74","0.96","3.66","","","","","","3.48",""
"010029","富国稳进回报12个月持有期混合A",,"1.0361","0.74","0.96","3.77","","","","","","3.61",""
"010028","华泰柏瑞创新升级混合C",,"3.5100","2.06","1.98","10.03","","","","","","8.23",""
"010027","景顺长城核心中景一年持有混合",,"1.0041","","0.46","","","","","","","0.41",""
"010026","广发聚瑞混合C",,"4.3565","1.02","0.51","17.44","","","","","","18.28",""
"010025","广发聚丰混合C",,"1.5692","3.58","3.97","8.57","","","","","","9.57",""
"010023","广发制造业精选混合C",,"5.4090","1.52","-0.46","9.16","","","","","","10.23",""
"010022","广发消费品精选混合C",,"4.8970","1.89","1.53","11.83","","","","","","12.83",""
"010021","广发优企精选混合C",,"2.4975","1.78","2.47","8.37","","","","","","7.33",""
"010020","华夏线上经济主题精选混合",,"1.0420","1.35","1.17","4.37","","","","","","4.20",""
"010019","招商瑞泽一年持有期混合C",,"1.0104","0.17","0.32","1.27","","","","","","1.04",""
"010018","招商瑞泽一年持有期混合A",,"1.0117","0.16","0.32","1.37","","","","","","1.17",""
"010017","华夏科技前沿6个月定开混合C",,"1.0240","","0.56","2.40","","","","","","2.40",""
"010016","华夏科技前沿6个月定开混合A",,"1.0257","","0.58","2.54","","","","","","2.57",""
"010009","中融成长优选混合C",,"1.0362","","2.54","","","","","","","3.62",""
"010008","中融成长优选混合A",,"1.0368","","2.55","","","","","","","3.68",""
"010007","南方誉鼎一年持有期混合C",,"1.0037","0.10","0.17","","","","","","","0.37",""
"010006","南方誉鼎一年持有期混合A",,"1.0044","0.10","0.18","","","","","","","0.44",""
"010000","长城中国智造灵活配置混合C",,"2.2676","2.61","1.74","15.58","","","","","","16.57",""
"009999","东方中国红利混合",,"1.0234","1.34","1.10","2.34","","","","","","2.34",""
"009998","上投摩根慧见两年持有期",,"1.0906","1.93","2.13","8.84","","","","","","9.06",""
"009995","嘉实创新先锋混合C",,"1.0142","","0.77","","","","","","","1.42",""
"009994","嘉实创新先锋混合A",,"1.0150","","0.78","","","","","","","1.50",""
"009993","嘉实前沿创新混合",,"1.1332","3.45","2.18","13.41","","","","","","13.32",""
"009992","景顺长城量化成长演化混合",,"1.0196","","0.76","","","","","","","1.96",""
"009991","华泰柏瑞品质优选C",,"1.0944","2.31","2.69","10.11","","","","","","9.44",""
"009990","华泰柏瑞品质优选A",,"1.0963","2.31","2.71","10.26","","","","","","9.63",""
"009989","华宝研究精选混合",,"1.0054","1.50","1.97","3.01","","","","","","0.54",""
"009987","天弘创新领航C",,"0.9582","0.32","-0.73","-2.94","","","","","","-4.18",""
"009986","天弘创新领航A",,"0.9595","0.32","-0.71","-2.84","","","","","","-4.05",""
"009984","鹏华启航两年封闭运作混合",,"0.9663","","-1.57","-3.37","","","","","","-3.37",""
"009983","永赢港股通品质生活慧选混合",,"1.0158","1.64","2.07","1.67","","","","","","1.58",""
"009978","银华招利一年持有期混合C",,"1.0000","","0.00","","","","","","","0.00",""
"009977","银华招利一年持有期混合A",,"1.0001","","0.01","","","","","","","0.01",""
"009974","创金合信核心资产混合C",,"1.1373","1.44","2.01","16.18","","","","","","13.73",""
"009973","创金合信核心资产混合A",,"1.1384","1.43","2.02","16.28","","","","","","13.84",""
"009972","创金合信核心价值混合C",,"1.0468","0.20","0.78","4.83","","","","","","4.68",""
"009971","创金合信核心价值混合A",,"1.0478","0.19","0.78","4.93","","","","","","4.78",""
"009970","财通内需增长12个月定开混合",,"1.1255","","1.65","12.03","","","","","","12.55",""
