"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"005691","南方中证100指数C",,"1.6485","1.27","2.21","13.42","32.32","35.20","85.96","","35.00","47.62",""
"005669","前海开源公用事业股票",,"1.6145","2.87","-0.59","38.49","60.79","52.56","65.50","","52.56","61.45",""
"005663","嘉实金融精选股票C",,"1.3745","0.34","1.69","3.92","17.23","5.29","47.45","","5.55","37.45",""
"005662","嘉实金融精选股票A",,"1.3942","0.35","1.71","4.05","17.53","5.84","48.91","","6.10","39.42",""
"005661","嘉实资源精选股票C",,"2.1718","2.26","4.44","30.15","61.08","72.37","121.07","","71.40","117.18",""
"005660","嘉实资源精选股票A",,"2.1938","2.26","4.45","30.31","61.48","73.22","123.11","","72.24","119.38",""
"005659","南方恒指ETF联接C",,"1.0311","1.83","2.74","11.40","4.08","-7.90","4.58","","-7.48","-6.73",""
"005658","华夏沪深300ETF联接C",,"1.6999","1.34","2.03","10.69","22.19","25.45","69.31","","24.99","23.72",""
"005640","平安300ETF联接C",,"1.3843","1.36","2.06","11.09","25.25","28.40","72.54","","27.96","38.43",""
"005639","平安300ETF联接A",,"1.3996","1.35","2.06","11.19","25.49","28.90","73.99","","28.46","39.96",""
"005636","博时量化多策略股票C",,"1.4100","1.05","1.61","9.78","25.38","35.86","76.21","","35.36","41.00",""
"005635","博时量化多策略股票A",,"1.4414","1.06","1.64","10.00","25.88","36.95","79.06","","36.43","44.14",""
"005633","建信中证500指数增强C",,"2.5445","1.35","-0.38","-0.23","9.80","25.09","58.23","","24.64","7.29",""
"005629","汇安趋势动力股票C",,"1.3345","2.27","2.14","9.76","6.40","20.11","47.80","","19.09","33.45",""
"005628","汇安趋势动力股票A",,"1.3564","2.27","2.15","9.90","6.67","20.71","49.37","","19.69","35.64",""
"005621","中欧品质消费股票C",,"2.0001","0.35","-2.31","-3.41","3.84","62.13","163.46","","61.14","123.88",""
"005620","中欧品质消费股票A",,"2.0323","0.35","-2.30","-3.23","4.26","63.42","166.53","","62.41","128.71",""
"005612","嘉实核心优势股票发起式",,"1.8769","2.83","3.44","20.44","36.74","61.83","133.53","","61.87","87.69",""
"005608","华宝中证500增强C",,"1.1975","1.23","0.33","2.48","10.55","27.69","57.88","","27.12","19.75",""
"005607","华宝中证500增强A",,"1.2105","1.24","0.34","2.58","10.78","28.20","59.13","","27.62","21.05",""
"005570","中融智选红利股票C",,"1.3839","1.59","2.34","9.18","17.23","21.84","66.71","","21.16","38.39",""
"005569","中融智选红利股票A",,"1.4013","1.60","2.35","9.31","17.48","22.53","68.08","","21.85","40.13",""
"005568","创金合信MSCI中国A股C",,"1.4557","1.49","1.75","10.81","23.44","32.94","84.87","","32.42","45.57",""
"005567","创金合信MSCI中国A股A",,"1.4652","1.50","1.76","10.87","23.56","33.21","85.68","","32.69","46.52",""
"005562","创金合信红利低波动C",,"1.1806","0.32","-0.36","2.97","17.61","13.81","37.22","","13.17","18.06",""
"005561","创金合信红利低波动A",,"1.1866","0.32","-0.36","3.02","17.73","14.04","37.72","","13.40","18.66",""
"005555","南方H股联接C",,"0.9419","1.74","1.38","8.75","1.82","-8.27","5.28","","-7.80","-5.81",""
"005554","南方H股联接A",,"0.9528","1.74","1.39","8.85","2.01","-7.91","6.11","","-7.44","-4.72",""
"005530","汇添富沪深300指数增强A",,"1.7167","1.30","2.03","11.24","31.90","48.08","104.66","","47.53","71.67",""
"005516","银华中小市值量化优选C",,"1.0903","0.84","-0.34","-2.70","3.20","16.16","41.27","","15.38","9.03",""
"005515","银华中小市值量化优选A",,"1.0670","0.84","-0.34","-2.60","3.39","16.55","39.30","","15.76","6.70",""
"005506","前海开源中药股票C",,"1.6610","0.31","-0.84","-4.28","-2.01","16.27","55.29","","13.90","66.10",""
"005505","前海开源中药股票A",,"1.6679","0.31","-0.83","-4.22","-1.89","16.58","55.89","","14.21","66.79",""
"005502","华泰紫金智能量化股票发起",,"1.4413","1.49","2.76","14.86","29.56","41.55","97.60","","41.22","44.13",""
"005496","创金合信科技成长股票C",,"1.8421","2.53","1.69","10.03","10.49","41.30","151.72","84.12","41.22","84.21",""
"005495","创金合信科技成长股票A",,"1.8751","2.54","1.70","10.17","10.77","42.01","155.46","87.42","41.93","87.51",""
"005457","景顺长城量化小盘股票",,"1.3696","1.19","-0.37","2.61","16.75","40.83","77.07","","40.23","36.96",""
"005433","申万菱信医药先锋股票",,"0.9989","","-0.26","","","","","","","-0.11",""
"005402","广发资源优选股票A",,"1.9199","1.55","3.20","12.65","34.43","66.11","129.30","86.78","65.49","91.99",""
"005391","工银创业板ETF联接C",,"1.5378","2.90","1.87","11.69","17.50","57.26","119.62","","56.60","53.78",""
"005390","工银创业板ETF联接A",,"1.5612","2.91","1.89","11.79","17.71","57.81","121.54","","57.16","56.12",""
"005328","前海开源价值策略股票",,"1.4818","2.30","2.11","15.99","18.78","53.54","115.53","48.17","53.14","48.18",""
"005314","万家中证1000指数增强C",,"1.3418","0.74","-0.02","3.05","10.18","31.32","83.01","","30.60","71.68",""
"005313","万家中证1000指数增强A",,"1.3488","0.75","-0.01","3.18","10.43","31.89","84.05","","31.17","74.70",""
"005310","广发电子信息传媒股票A",,"1.7406","2.46","1.74","1.94","5.75","54.43","162.61","74.62","53.67","74.06",""
"005304","嘉实医药健康股票C",,"2.1603","1.44","2.12","2.29","8.95","78.71","180.09","115.84","76.12","116.03",""
"005303","嘉实医药健康股票A",,"2.2124","1.44","2.13","2.50","9.39","80.13","184.19","120.93","77.52","121.24",""
"005288","海富通创业板增强A",,"1.7687","2.15","0.91","8.03","17.11","56.94","126.67","","56.26","76.87",""
"005287","海富通创业板增强C",,"1.7511","2.15","0.90","7.91","16.87","56.32","124.93","","55.64","75.11",""
"005268","鹏华优势企业",,"2.2988","2.46","2.92","14.43","25.87","80.60","210.23","129.65","78.62","129.88",""
"005267","嘉实价值精选股票",,"2.0445","1.35","4.31","26.86","62.12","69.29","140.47","98.03","68.76","104.45",""
"005259","建信龙头企业股票",,"2.1045","2.64","4.43","24.59","40.82","68.56","169.60","","68.20","110.45",""
"005248","新华沪深300指数增强A",,"1.3732","1.37","1.97","9.71","32.17","37.17","","","36.46","37.32",""
"005238","银华医疗健康量化优选C",,"1.8566","1.33","1.17","9.04","8.90","67.64","138.21","82.95","64.46","85.66",""
"005237","银华医疗健康量化优选A",,"1.8742","1.33","1.18","9.15","9.12","68.30","139.64","84.58","65.10","87.42",""
"005236","银华食品饮料量化股票发起式C",,"2.4662","2.21","2.48","24.42","51.53","93.96","202.34","141.97","93.28","146.62",""
"005235","银华食品饮料量化股票发起式A",,"2.4829","2.21","2.48","24.54","51.83","94.72","203.87","143.49","94.02","148.29",""
"005229","嘉实富时中国A50ETF联接C",,"1.4659","1.68","2.78","14.49","29.00","30.77","83.63","","30.65","43.77",""
"005224","广发中证基建工程指数C",,"0.7083","-0.34","-1.56","-3.96","3.27","-6.15","-5.21","","-7.17","-29.17",""
"005223","广发中证基建工程指数A",,"0.7107","-0.32","-1.54","-3.91","3.39","-5.95","-5.00","","-6.96","-28.93",""
"005210","东吴双三角C",,"1.3023","2.59","2.10","9.13","5.42","40.94","74.08","29.80","40.23","30.23",""
"005209","东吴双三角A",,"1.3250","2.59","2.10","9.25","5.68","41.65","75.82","32.02","40.93","32.50",""
"005189","海富通量化前锋股票A",,"1.6551","1.66","1.75","6.01","17.03","45.93","105.22","","44.64","65.51",""
"005188","海富通量化前锋股票C",,"1.6679","1.66","1.74","5.91","16.79","45.36","103.63","","44.08","66.79",""
"005161","华商上游产业股票",,"1.5738","1.85","1.65","14.64","32.39","54.35","100.20","57.38","54.07","57.38",""
"005137","长信沪深300指数增强A",,"1.5720","1.59","2.83","12.34","28.53","44.62","87.34","","44.05","57.20",""
"005125","华宝标普中国A股红利机会指数C",,"1.0768","0.29","-0.73","1.14","11.24","9.14","28.80","1.51","8.48","2.07",""
"005114","平安沪深300指数量化C",,"1.3857","1.51","2.26","12.40","27.69","38.57","90.68","38.47","38.13","38.57",""
"005113","平安沪深300指数量化A",,"1.4129","1.52","2.27","12.55","28.00","39.26","92.81","41.18","38.81","41.29",""
"005112","银华中证全指医药卫生",,"1.9920","1.71","3.33","1.51","-4.57","45.98","121.95","95.74","42.89","99.20",""
"005106","银华农业产业股票发起式",,"2.2576","1.14","1.63","4.16","17.75","61.86","183.76","118.08","60.71","125.76",""
"005103","工银沪深300ETF联接C",,"1.2763","1.31","2.01","10.44","22.09","22.44","","","22.03","27.63",""
"005102","工银沪深300ETF联接A",,"1.2818","1.31","2.01","10.50","22.23","22.74","","","22.32","28.18",""
"005064","广发中证全指家用电器指数C",,"1.4189","0.45","0.57","14.17","28.97","33.04","90.81","31.70","32.57","41.89",""
"005063","广发中证全指家用电器指数A",,"1.4247","0.44","0.56","14.21","29.08","33.31","91.21","32.14","32.83","42.47",""
"005062","博时中证500指数增强A",,"1.3565","1.28","-0.01","1.63","11.36","32.08","84.06","37.09","31.49","35.65",""
"005052","上投标普港股通低波红利指数C",,"0.7661","0.10","1.34","3.47","-3.68","-21.92","-18.84","-23.86","-21.75","-23.39",""
"005051","上投标普港股通低波红利指数A",,"0.7761","0.10","1.34","3.59","-3.45","-21.53","-18.14","-22.90","-21.37","-22.39",""
"005038","银华新能源新材料C",,"1.5043","2.61","1.00","33.24","55.66","85.46","127.41","58.97","85.17","50.42",""
"005037","银华新能源新材料A",,"1.5263","2.62","1.01","33.38","55.98","86.22","129.38","61.10","85.93","52.61",""
"005036","银华信息科技量化股票发起式C",,"1.2160","1.29","0.75","2.33","-0.49","31.12","98.01","35.32","30.74","21.60",""
