"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"167506","安信深圳科技指数(LOF)A","2020-12-04","1.4369","0.69","2.13","-0.16","22.24","","","","41.76","43.69",""
"167503","安信一带一路分级","2020-12-04","1.2680","0.00","0.08","7.09","25.67","23.44","31.57","5.44","14.96","-43.82",""
"167302","方正富邦大湾区综指(LOF)","2020-12-04","1.2144","0.02","0.72","7.81","20.88","23.13","","","18.01","21.44",""
"167301","方正富邦保险主题指数分级","2020-12-04","1.0570","-0.47","0.76","15.02","32.13","22.08","46.86","24.74","15.90","75.80",""
"166802","浙商沪深300指数增强","2020-12-04","2.0315","0.28","1.69","8.04","38.66","51.77","90.34","49.72","41.76","133.86",""
"166402","浦银安盛沪港深基本面100","2020-12-04","1.0260","-0.45","-0.90","6.67","4.38","-3.64","-2.56","-5.00","-9.44","2.60",""
"165806","东吴沪深300A","2020-12-04","1.4995","0.09","1.31","5.95","27.18","29.37","48.44","13.94","22.84","49.95",""
"165525","信诚中证基建工程指数LOF","2020-12-04","0.7170","-0.83","-0.28","-1.92","7.82","2.58","-11.15","-36.99","-2.58","-27.70",""
"165524","信诚中证智能家居指数分级","2020-12-04","0.9720","","1.96","-5.72","7.03","27.17","63.53","13.63","18.19","-35.36",""
"165523","信诚中证信息安全指数分级","2020-12-04","0.9570","","2.42","-9.13","0.62","21.43","50.65","13.45","14.17","-37.12",""
"165522","信诚中证TMT产业主题分级","2020-12-04","0.9610","-0.21","3.11","-3.42","12.53","33.27","72.40","25.08","23.95","36.85",""
"165521","信诚中证800金融指数分级","2020-12-04","1.2090","-1.14","1.17","8.72","25.81","18.95","36.32","21.46","11.94","120.28",""
"165520","信诚中证800有色指数分级","2020-12-04","1.2500","2.29","0.64","17.48","45.01","50.99","61.05","11.16","34.55","33.53",""
"165519","信诚中证800医药指数分级","2020-12-04","1.3350","1.06","5.70","-5.59","24.07","57.61","69.86","55.88","50.85","142.38",""
"165515","信诚沪深300指数分级","2020-12-04","1.2000","0.17","1.69","6.76","33.48","38.22","62.85","36.64","30.43","111.49",""
"165511","信诚中证500指数分级","2020-12-04","1.4960","0.54","1.91","0.07","23.64","43.01","63.64","23.12","34.31","92.50",""
"165312","建信央视50","2020-12-04","1.2458","0.14","1.26","7.64","29.95","38.18","69.77","43.04","30.87","202.04",""
