"编号","名称","日期","净值","名称","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"005809","前海开源裕源(FOF)","2020-12-03","1.5716","-0.37","0.98","-4.23","8.01","22.87","53.63","","13.64","57.16",""
"005759","中融量化精选(FOF)C","2020-12-02","1.0949","0.10","1.30","-0.42","4.85","8.11","12.75","","3.90","9.49",""
"005758","中融量化精选(FOF)A","2020-12-02","1.1125","0.10","1.31","-0.28","5.15","8.76","14.11","","4.47","11.25",""
"005222","泰达宏利全能混合(FOF)C","2020-12-02","1.2000","0.04","0.94","1.17","13.24","14.94","22.57","20.20","12.09","20.00",""
"005221","泰达宏利全能混合(FOF)A","2020-12-02","1.2126","0.04","0.94","1.25","13.41","15.30","23.32","21.43","12.40","21.26",""
"005220","海富通聚优精选混合(FOF)","2020-12-03","1.5085","0.12","2.05","0.37","26.49","48.96","79.28","57.02","41.14","50.85",""
"005219","华夏聚惠(FOF)C","2020-12-02","1.2615","-0.06","0.82","0.60","10.95","18.67","28.69","25.94","15.16","26.15",""
"005218","华夏聚惠(FOF)A","2020-12-02","1.2772","-0.05","0.83","0.70","11.18","19.15","29.72","27.47","15.59","27.72",""
"005217","建信福泽安泰混合(FOF)","2020-12-03","1.2262","-0.01","0.98","1.07","9.36","16.50","24.27","22.34","13.86","22.62",""
"005216","南方全天候策略(FOF)C","2020-12-03","1.2747","-0.09","1.16","1.57","14.34","21.23","29.57","27.25","18.53","27.47",""
"005215","南方全天候策略(FOF)A","2020-12-03","1.2989","-0.08","1.18","1.72","14.69","21.96","31.14","29.58","19.19","29.89",""
"005157","嘉实领航资产配置混合C","2020-12-02","1.2301","0.06","1.64","3.02","14.61","20.13","28.95","22.97","17.32","23.01",""
"005156","嘉实领航资产配置混合A","2020-12-02","1.2631","0.06","1.66","3.22","15.07","21.09","31.05","26.17","18.19","26.31",""
